"reaction","temp","Output"
"CC(C1=CC=CC=C1N)=O*FC1=CC=C(Br)C(F)=C1*Fc1c(Nc2c(C(=O)C)cccc2)ccc(F)c1","",5.77246445
"CC(C1=CC=C(N)C=C1)=O*COC1=CC(Br)=CC=C1*O=C(C)c1ccc(Nc2cc(OC)ccc2)cc1","",0.984993989
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*CC1=CC(Br)=CC(C)=N1*O=[N+]([O-])c1c(Nc2cc(C)nc(C)c2)cc(C(=O)O)cc1","",4.600951579
"O=[N+](C1=CN=C(N)C=C1)[O-]*CC1=CN=CC(Br)=C1*O=[N+]([O-])c1cnc(Nc2cc(C)cnc2)cc1","",3.966720374
"NC1=CC=CC=C1C*FC(C1=CC=C(Br)C=C1)(F)F*FC(F)(F)c1ccc(Nc2c(C)cccc2)cc1","",5.318136484
"CC1=CC(C)=C(N)C=N1*CC1=CC=CC(Br)=N1*N(c1c(C)cc(C)nc1)c1nc(C)ccc1","",3.788622493
"O=[N+](C1=CN=C(N)C=C1)[O-]*CC1=CC=CC(Br)=N1*O=[N+]([O-])c1cnc(Nc2nc(C)ccc2)cc1","",0.531920711
"O=[N+](C1=CN=C(N)C=C1)[O-]*FC1=CC(Br)=NC=C1*Fc1cc(Nc2ncc([N+](=O)[O-])cc2)ncc1","",3.455292721
"OC1=CC=CC=C1N*BrC1=CN=CC(C(C)=O)=C1*O=C(C)c1cc(Nc2c(O)cccc2)cnc1","",3.14343802
"NC1=CC=CC=C1C(F)(F)F*CC1=CC(Br)=CC(C)=N1*FC(F)(F)c1c(Nc2cc(C)nc(C)c2)cccc1","",1.697992403
"NC1=CC=C(F)C=C1*O=C(OC)C1=CC=CC=C1Br*Fc1ccc(Nc2c(C(=O)OC)cccc2)cc1","",0.249231365
"NC1=CC=CC=C1C#C*O=C(OC)C1=CC(Br)=CC(C(OC)=O)=C1*O=C(OC)c1cc(Nc2c(C#C)cccc2)cc(C(=O)OC)c1","",2.934637107
"NC1=CC=C([N+]([O-])=O)C=C1*BrC1=CC([N+]([O-])=O)=CC=C1*O=[N+]([O-])c1cc(Nc2ccc([N+](=O)[O-])cc2)ccc1","",0.745469272
"O=C(O)C1=CC=C(OC)C(N)=C1*N#CC1=CC=C(Br)C=C1*O=C(O)c1cc(Nc2ccc(C#N)cc2)c(OC)cc1","",0.998976275
"FC1=NC=C(N)C=C1*FC(C1=CC(Br)=NC=C1)(F)F*FC(F)(F)c1cc(Nc2cnc(F)cc2)ncc1","",0.78469264
"NC1=NC=C(C(F)(F)F)C=C1*CN(C)C1=NC=CC(Br)=C1*FC(F)(F)c1cnc(Nc2cc(N(C)C)ncc2)cc1","",0.594437282
"FC1=CC(N)=CC=C1*O=C(O)C1=CC(Br)=CC=C1C*Fc1cc(Nc2cc(C(=O)O)c(C)cc2)ccc1","",1.851201369
"FC1=C(N)C=CN=C1*CC1=CN=CC(Br)=C1*Fc1c(Nc2cc(C)cnc2)ccnc1","",1.492577413
"COC1=NC=C(N)C=C1*COC1=CN=CC(Br)=C1*O(C)c1ncc(Nc2cc(OC)cnc2)cc1","",2.07534837834505
"FC1=C(N)C=CN=C1*O=[N+](C1=CC(Br)=NC=C1)[O-]*Fc1c(Nc2nccc([N+](=O)[O-])c2)ccnc1","",1.220776375
"O=C(O)C1=CC=C([N+]([O-])=O)C(N)=C1*N#CC1=CC=C(Br)C=C1*O=[N+]([O-])c1c(Nc2ccc(C#N)cc2)cc(C(=O)O)cc1","",0.492664016
"CC1=NC=CC(N)=C1*O=C(OCC)C1=NC=CC(Br)=C1*O=C(OCC)c1nccc(Nc2cc(C)ncc2)c1","",0.399291215
"CC(C1=CC=CC=C1N)=O*FC1=CC(Br)=NC=C1*Fc1cc(Nc2c(C(=O)C)cccc2)ncc1","",0.343310835
"O=C(OC)C1=CC=NC(N)=C1*CC1=CC=CC(Br)=N1*O=C(OC)c1cc(Nc2nc(C)ccc2)ncc1","",1.460841271
"O=[N+](C1=CN=C(N)C=C1)[O-]*O=[N+](C1=CC(Br)=NC=C1)[O-]*O=[N+]([O-])c1cc(Nc2ncc([N+](=O)[O-])cc2)ncc1","",0.847215711
"O=C(O)C1=CC=C(OC)C(N)=C1*CC1=CC=C(Br)C=C1C*O=C(O)c1cc(Nc2cc(C)c(C)cc2)c(OC)cc1","",0.513217824
"CC1=CC(C)=C(N)C=N1*COC1=CN=CC(Br)=C1*O(C)c1cc(Nc2c(C)cc(C)nc2)cnc1","",0.739572902
