"reaction","temp","Output"
"NC1=CC=CC(C)=C1*CCCCCC1=CC=C(Br)C=C1*N(c1cc(C)ccc1)c1ccc(CCCCC)cc1","",3.949222829
"NC1=CC=C(C)C=C1*FC(C1=CC=C(Br)C=C1)(F)F*FC(F)(F)c1ccc(Nc2ccc(C)cc2)cc1","",4.678926631
"NC1=CC=CC=C1F*COC1=CC=C(Br)C(OC)=C1*Fc1c(Nc2c(OC)cc(OC)cc2)cccc1","",6.461048336
"NC1=CC=C(F)C=C1*O=C(O)C1=CC(Br)=CC=C1C*Fc1ccc(Nc2cc(C(=O)O)c(C)cc2)cc1","",9.312478211
"NC1=CC=C(F)C=C1*COC1=CC=C(Br)C(OC)=C1*Fc1ccc(Nc2c(OC)cc(OC)cc2)cc1","",5.133836747
"NC1=CC=C(F)C=C1*CCCCCC1=CC=C(Br)C=C1*Fc1ccc(Nc2ccc(CCCCC)cc2)cc1","",5.810800914
"CC1=C(N)C=NC=C1*COC1=CC(Br)=CC=C1*O(C)c1cc(Nc2c(C)ccnc2)ccc1","",2.922638982
"CC1=NC=CC(N)=C1*OCC1=CC=CC(Br)=C1*OCc1cc(Nc2cc(C)ncc2)ccc1","",1.230422027
"FC1=CC=CC(N)=N1*N#CC1=CC=C(Br)C=C1*Fc1nc(Nc2ccc(C#N)cc2)ccc1","",1.438334643
"FC1=CC=CC(N)=N1*COC1=CC(Br)=CC=C1*Fc1nc(Nc2cc(OC)ccc2)ccc1","",6.869949981
"FC1=C(N)C=CN=C1*N#CC1=CC=C(Br)C=C1*Fc1c(Nc2ccc(C#N)cc2)ccnc1","",1.50483975
"FC1=C(N)C=CN=C1*COC1=CC(Br)=CC=C1*Fc1c(Nc2cc(OC)ccc2)ccnc1","",5.346094652
"N#CC1=NC=CC(N)=C1*CC1=CC=C(Br)C=C1*N#Cc1nccc(Nc2ccc(C)cc2)c1","",2.657419355
"N#CC1=NC=CC(N)=C1*COC1=CC(Br)=CC=C1*O(C)c1cc(Nc2cc(C#N)ncc2)ccc1","",3.861836896
"O=CC1=C(N)C=NC=C1*COC1=CC(Br)=CC=C1*O=Cc1c(Nc2cc(OC)ccc2)cncc1","",0.325315457
"N#CCC1=NC=CC=C1N*OC1=CC=CC=C1Br*Oc1c(Nc2c(CC#N)nccc2)cccc1","",0.980970874
"N#CCC1=NC=CC=C1N*FC1=CC=CC=C1Br*Fc1c(Nc2c(CC#N)nccc2)cccc1","",0.180817868
"O=C(C1=CC=CN=C1N)C*OC1=CC=CC=C1Br*O=C(C)c1c(Nc2c(O)cccc2)nccc1","",0.673282117
"O=C(C1=CC=CN=C1N)C*OCC1=CC=CC(Br)=C1*O=C(C)c1c(Nc2cc(CO)ccc2)nccc1","",3.969859344
"CCOC1=NC=CC(N)=C1*FC1=CC(Br)=CC=C1*Fc1cc(Nc2cc(OCC)ncc2)ccc1","",3.166703911
"CCOC1=CC(N)=NC=C1*OC1=CC=CC=C1Br*O(CC)c1cc(Nc2c(O)cccc2)ncc1","",0.825151452
"O=C(OC)C1=CC=NC=C1N*FC1=CC=CC=C1Br*Fc1c(Nc2c(C(=O)OC)ccnc2)cccc1","",2.533742331
"O=C(OC)C1=CC=NC=C1N*FC1=CC(Br)=CC=C1*Fc1cc(Nc2c(C(=O)OC)ccnc2)ccc1","",1.865572968
