"reaction","temp","Output"
"O=C(OC)C1=CC=NC(N)=C1*CC1=CC(Br)=CC(C)=N1*O=C(OC)c1cc(Nc2cc(C)nc(C)c2)ncc1","",1.530353165
"O=C(OCC)C1=NC=CC(N)=C1*FC(C1=CC=CC(Br)=N1)F*FC(F)c1nc(Nc2cc(C(=O)OCC)ncc2)ccc1","",4.86775161
"O=C(OCC)C1=NC=CC(N)=C1*FC(C1=NC=CC=C1Br)(F)F*FC(F)(F)c1c(Nc2cc(C(=O)OCC)ncc2)cccn1","",0.334515075
"CCOC1=NC=CC(N)=C1*FC1=CN=CC(Br)=C1*Fc1cc(Nc2cc(OCC)ncc2)cnc1","",4.514435696
"O=C(OC)C1=CC=NC(N)=C1*CC1=NC=CC(Br)=C1*O=C(OC)c1cc(Nc2cc(C)ncc2)ncc1","",1.2249347
"N#CC1=NC=CC(N)=C1*CN(C)C1=NC=CC(Br)=C1*N#Cc1nccc(Nc2cc(N(C)C)ncc2)c1","",1.400345311
"FC(C1=NC=C(N)C=C1)(F)F*COC1=NC=CC(Br)=C1*FC(F)(F)c1ncc(Nc2cc(OC)ncc2)cc1","",3.411098977
"FC(C1=NC=C(N)C=C1)(F)F*COC1=CN=CC(Br)=C1*FC(F)(F)c1ncc(Nc2cc(OC)cnc2)cc1","",5.08753024
"CC1=CN=C(N)C=C1*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2ncc(C)cc2)cc1","",2.494764328
"N#CC1=CC(N)=NC=C1*FC(C1=NC=CC(Br)=C1)(F)F*FC(F)(F)c1nccc(Nc2nccc(C#N)c2)c1","",1.150850959
"CC1=CC(C)=C(N)C=N1*O=C(OCC)C1=NC=CC(Br)=C1*O=C(OCC)c1nccc(Nc2c(C)cc(C)nc2)c1","",3.97469712
"COC1=NC=C(N)C=C1*FC(C1=CC(Br)=NC=C1)(F)F*FC(F)(F)c1cc(Nc2cnc(OC)cc2)ncc1","",4.688575094
"COC1=NC=C(N)C=C1*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2cnc(OC)cc2)cc1","",3.326476871
"CCOC1=NC=CC(N)=C1*FC(C1=CC(Br)=NC=C1)(F)F*FC(F)(F)c1cc(Nc2cc(OCC)ncc2)ncc1","",2.963952384
"O=[N+](C1=CN=C(N)C=C1)[O-]*FC(C1=CC=CC(Br)=N1)F*FC(F)c1nc(Nc2ncc([N+](=O)[O-])cc2)ccc1","",2.059098281
"O=C(C1=NC=CC(N)=C1)OC*FC(C1=NC=C(Br)C=C1)(F)F*FC(F)(F)c1ncc(Nc2cc(C(=O)OC)ncc2)cc1","",0.352708953
"O=C(OC)C1=CC=NC(N)=C1*FC(C1=CC(Br)=NC=C1)(F)F*FC(F)(F)c1cc(Nc2nccc(C(=O)OC)c2)ncc1","",6.515378962
