"Group","R2","MAE","MSE"
"concat_01",0.898574,0.153404,0.045177
"concat_02",0.879551,0.159358,0.054741
"concat_03",0.901729,0.159807,0.050025
"concat_04",0.907463,0.153646,0.047668
"concat_05",0.878409,0.16581,0.055491
"concat_06",0.89247,0.167315,0.051805
"concat_07",0.88374,0.168972,0.057749
"concat_08",0.892283,0.160695,0.049302
"concat_09",0.898679,0.16083,0.050021
"concat_10",0.889828,0.179577,0.06304
