"Group","R2","MAE","MSE"
"concat_01",0.9478,4.574931,39.706048
"concat_02",0.948447,4.321207,36.881262
"concat_03",0.949412,4.429897,37.110048
"concat_04",0.94805,4.389929,38.263217
"concat_05",0.958239,4.149436,32.152553
"concat_06",0.949484,4.371391,37.118663
"concat_07",0.956213,4.180732,32.471611
"concat_08",0.951502,4.296846,35.278163
"concat_09",0.946749,4.625971,40.125865
"concat_10",0.95412,4.206121,34.799423
