"Group","R2","MAE","MSE"
"sum_00",0.831493,0.082563,0.013037
"sum_01",0.841919,0.080685,0.012508
"sum_02",0.855391,0.07858,0.011431
"sum_03",0.84025,0.081488,0.012519
"sum_04",0.845637,0.079424,0.012036
"sum_05",0.835645,0.080337,0.012831
"sum_06",0.828922,0.083407,0.01401
"sum_07",0.844492,0.079497,0.012015
"sum_08",0.833409,0.081908,0.013391
"sum_09",0.825379,0.081606,0.013759
