"idx","R2_concat","R2_sum"
1,-0.014294,-0.028426
2,0.012599,0.007418
3,0.132926,0.060372
4,0.212055,0.12707
5,0.240865,0.177983
6,0.336304,0.210184
7,0.440869,0.194663
8,0.427351,0.253646
9,0.51493,0.329136
10,0.443264,0.325495
11,0.466812,0.448062
12,0.477852,0.26621
13,0.407095,0.413983
14,0.514857,0.427783
15,0.552403,0.521738
16,0.585375,0.531632
17,0.59336,0.548727
18,0.614115,0.549445
19,0.615722,0.550066
20,0.622322,0.552964
21,0.637411,0.530453
22,0.647671,0.582069
23,0.624176,0.5524
24,0.632773,0.572719
25,0.645468,0.58651
26,0.619131,0.524452
27,0.625928,0.550317
28,0.638282,0.566389
29,0.647122,0.547464
30,0.648087,0.581493
31,0.670302,0.581457
32,0.624424,0.587012
33,0.63518,0.582083
34,0.670034,0.600048
35,0.626979,0.581061
36,0.649281,0.591912
37,0.677883,0.585862
38,0.648906,0.589732
39,0.673115,0.597107
40,0.658495,0.606705
41,0.661808,0.570944
42,0.666923,0.594385
43,0.653868,0.61166
44,0.669869,0.561193
45,0.637627,0.610653
46,0.672591,0.622181
47,0.66156,0.612482
48,0.648387,0.622331
49,0.656112,0.619543
50,0.662335,0.632295
51,0.656215,0.628236
52,0.671584,0.648386
53,0.664042,0.646017
54,0.661238,0.641673
55,0.65693,0.643998
56,0.655227,0.653483
57,0.650911,0.621566
58,0.656295,0.647724
59,0.66228,0.660541
60,0.639434,0.661225
61,0.652382,0.661938
62,0.656579,0.642394
63,0.650353,0.642399
64,0.647996,0.660743
65,0.650961,0.671862
66,0.649827,0.650091
67,0.646476,0.652117
68,0.645759,0.670912
69,0.653219,0.659008
70,0.647913,0.665636
71,0.644716,0.667892
72,0.639996,0.669322
73,0.648649,0.67179
74,0.636217,0.677135
75,0.649478,0.67439
76,0.635705,0.680985
77,0.644446,0.668348
78,0.642392,0.669337
79,0.637225,0.677571
80,0.636515,0.681266
81,0.636046,0.67912
82,0.633871,0.680054
83,0.634168,0.671645
84,0.635486,0.6792
85,0.63302,0.680648
86,0.63123,0.680438
87,0.633527,0.680624
88,0.632318,0.676815
89,0.632036,0.675386
90,0.632501,0.681284
91,0.632057,0.67646
92,0.633479,0.674623
93,0.627937,0.682776
94,0.632916,0.687711
95,0.626449,0.687143
96,0.631018,0.674986
97,0.627765,0.684352
98,0.629109,0.681133
99,0.625185,0.67485
100,0.62611,0.664094
