"Group","R2","MAE","MSE"
"concat_01",0.679184,1.202659,6.38289
"concat_02",0.72873,1.104205,6.566524
"concat_03",0.690206,1.172751,6.274186
"concat_04",0.698485,1.223104,7.379849
"concat_05",0.789891,1.178421,5.696605
"concat_06",0.74221,1.19623,6.22745
"concat_07",0.714498,1.243338,6.095582
"concat_08",0.735854,1.222405,5.404737
"concat_09",0.796815,1.042844,3.876504
"concat_10",0.716004,1.286455,7.163315
