"idx","R2_concat","R2_sum"
1,0.113169,-0.134752
2,-0.063141,0.090999
3,0.006525,-0.006501
4,0.195021,0.156191
5,0.219481,0.185933
6,0.274322,0.172471
7,0.338416,0.204302
8,0.367101,0.184343
9,0.456246,0.210477
10,0.583886,0.21176
11,0.649906,0.227803
12,0.665099,0.212094
13,0.703878,0.241322
14,0.750958,0.19486
15,0.777533,0.229616
16,0.776221,0.261038
17,0.803501,0.241673
18,0.767554,0.282571
19,0.816773,0.279111
20,0.802379,0.342313
21,0.805219,0.379329
22,0.816519,0.399667
23,0.800959,0.453307
24,0.840664,0.441498
25,0.820163,0.563036
26,0.851497,0.618239
27,0.846738,0.660727
28,0.853663,0.609725
29,0.862215,0.702554
30,0.86799,0.70953
31,0.844876,0.719895
32,0.861534,0.709643
33,0.862658,0.716238
34,0.8716,0.749992
35,0.870688,0.763471
36,0.857102,0.753296
37,0.875241,0.784124
38,0.86385,0.788806
39,0.875601,0.655462
40,0.871135,0.780768
41,0.884477,0.79354
42,0.878614,0.803752
43,0.879981,0.799592
44,0.882827,0.815473
45,0.878335,0.805422
46,0.883315,0.826596
47,0.887723,0.806062
48,0.876697,0.823936
49,0.888271,0.836927
50,0.880116,0.810937
51,0.887031,0.821056
52,0.888835,0.8392
53,0.875606,0.804518
54,0.888945,0.799677
55,0.890272,0.839301
56,0.89056,0.831645
57,0.879485,0.842678
58,0.889197,0.833991
59,0.886874,0.831805
60,0.88198,0.817369
61,0.890198,0.847983
62,0.887262,0.830378
63,0.887825,0.827762
64,0.894235,0.82605
65,0.88169,0.852173
66,0.891898,0.835659
67,0.88786,0.859248
68,0.887205,0.848791
69,0.894846,0.86092
70,0.885768,0.850923
71,0.88724,0.853976
72,0.892647,0.843052
73,0.889609,0.860001
74,0.894933,0.862387
75,0.894642,0.872217
76,0.887104,0.871264
77,0.896457,0.872869
78,0.896187,0.871165
79,0.883388,0.874331
80,0.891996,0.87521
81,0.894003,0.87456
82,0.892873,0.875403
83,0.892129,0.874663
84,0.893917,0.87404
85,0.894114,0.87855
86,0.89414,0.878037
87,0.894466,0.878802
88,0.894329,0.877119
89,0.895927,0.880664
90,0.892374,0.881177
91,0.894655,0.880848
92,0.894371,0.876581
93,0.89207,0.881666
94,0.89742,0.882094
95,0.89596,0.878013
96,0.890054,0.88239
97,0.896669,0.878375
98,0.895398,0.877672
99,0.894097,0.882997
100,0.896475,0.88092
