"idx","R2_concat","R2_sum"
1,-0.090011,-0.102985
2,-0.026151,-0.127468
3,0.122924,0.123383
4,0.145704,-0.149777
5,0.162041,0.139377
6,0.17422,0.191808
7,0.402753,0.207746
8,0.464672,0.359792
9,0.505205,0.400367
10,0.520194,0.470713
11,0.539952,0.451724
12,0.575676,0.463768
13,0.497919,0.481008
14,0.553878,0.527722
15,0.578528,0.559605
16,0.617833,0.57961
17,0.599279,0.612341
18,0.620496,0.603725
19,0.653041,0.638379
20,0.611913,0.664281
21,0.66572,0.656738
22,0.591958,0.596833
23,0.667016,0.684989
24,0.640734,0.661133
25,0.669788,0.673311
26,0.627966,0.68407
27,0.69024,0.677111
28,0.694766,0.664823
29,0.684465,0.689358
30,0.702768,0.713018
31,0.683092,0.6888
32,0.701947,0.711627
33,0.706737,0.708015
34,0.724678,0.72577
35,0.699589,0.706495
36,0.674885,0.717698
37,0.692498,0.659443
38,0.704636,0.707434
39,0.637941,0.673561
40,0.702859,0.729255
41,0.681217,0.707918
42,0.692742,0.717904
43,0.674762,0.717188
44,0.68148,0.721351
45,0.671294,0.708823
46,0.667071,0.703287
47,0.634865,0.70734
48,0.673601,0.716188
49,0.653695,0.698725
50,0.671279,0.712455
51,0.632096,0.702561
52,0.651637,0.703699
53,0.647454,0.697658
54,0.656804,0.70102
55,0.616665,0.70114
56,0.650928,0.688439
57,0.637519,0.69199
58,0.650875,0.677462
59,0.631422,0.682667
60,0.630999,0.688493
61,0.653165,0.679318
62,0.585203,0.672534
63,0.65103,0.697008
64,0.618982,0.695811
65,0.654712,0.701352
66,0.64685,0.672671
67,0.609245,0.667801
68,0.649859,0.678986
69,0.637631,0.653569
70,0.636122,0.662559
71,0.629563,0.663941
72,0.638591,0.667256
73,0.628109,0.655337
74,0.642611,0.650857
75,0.626539,0.65121
76,0.631536,0.646216
77,0.631696,0.645736
78,0.637938,0.649289
79,0.626223,0.659772
80,0.626556,0.664179
81,0.632172,0.636003
82,0.62914,0.63711
83,0.630452,0.649487
84,0.630529,0.658214
85,0.616717,0.655548
86,0.630868,0.64246
87,0.628405,0.653229
88,0.631301,0.652887
89,0.62411,0.658804
90,0.629109,0.652769
91,0.62408,0.641027
92,0.625819,0.647679
93,0.625346,0.639438
94,0.623201,0.658496
95,0.622888,0.647545
96,0.627154,0.655982
97,0.621413,0.652793
98,0.623304,0.653399
99,0.625842,0.64605
100,0.625461,0.651054
