"Group","R2","MAE","MSE"
"sum_00",0.825837,0.084137,0.013474
"sum_01",0.835237,0.083535,0.013036
"sum_02",0.860256,0.074862,0.011046
"sum_03",0.837597,0.081201,0.012727
"sum_04",0.846184,0.078506,0.011994
"sum_05",0.836567,0.080446,0.012759
"sum_06",0.830918,0.0827,0.013846
"sum_07",0.840821,0.079639,0.012299
"sum_08",0.831467,0.083764,0.013547
"sum_09",0.804854,0.087213,0.015376
