"Group","R2","MAE","MSE"
"concat_00",0.839186,0.079776,0.012441
"concat_01",0.856634,0.077479,0.011343
"concat_02",0.84801,0.079918,0.012014
"concat_03",0.836625,0.080328,0.012803
"concat_04",0.854377,0.075503,0.011355
"concat_05",0.839952,0.079842,0.012494
"concat_06",0.826174,0.084056,0.014235
"concat_07",0.84197,0.081655,0.01221
"concat_08",0.834015,0.081007,0.013342
"concat_09",0.835635,0.080017,0.012951
