"idx","R2_concat","R2_sum"
1,0.041209,0.032776
2,0.306592,0.07594
3,0.529039,0.143665
4,0.580776,0.453167
5,0.634039,0.526748
6,0.63967,0.449594
7,0.640401,0.559279
8,0.666288,0.592201
9,0.664134,0.624342
10,0.707112,0.644989
11,0.717232,0.634426
12,0.73007,0.681747
13,0.751526,0.667851
14,0.763999,0.683721
15,0.776036,0.692631
16,0.772737,0.702555
17,0.788895,0.715908
18,0.787842,0.735606
19,0.790564,0.71354
20,0.807516,0.742449
21,0.813204,0.767271
22,0.822999,0.764195
23,0.82686,0.776674
24,0.827612,0.778054
25,0.836694,0.745496
26,0.819122,0.787034
27,0.838863,0.796517
28,0.840814,0.802146
29,0.8424,0.801213
30,0.848153,0.814083
31,0.848566,0.821105
32,0.852312,0.819734
33,0.843415,0.828785
34,0.854812,0.804335
35,0.853089,0.825039
36,0.857015,0.830898
37,0.851055,0.835325
38,0.850842,0.829925
39,0.849414,0.834067
40,0.861178,0.837493
41,0.853988,0.835792
42,0.859532,0.843516
43,0.859688,0.849986
44,0.853229,0.838608
45,0.855545,0.851767
46,0.860214,0.848147
47,0.853916,0.833694
48,0.843077,0.832493
49,0.856531,0.851266
50,0.859052,0.83652
51,0.850033,0.848016
52,0.857609,0.855402
53,0.853642,0.850369
54,0.856289,0.851407
55,0.851432,0.848751
56,0.848966,0.835041
57,0.856332,0.855203
58,0.854846,0.854538
59,0.84989,0.854504
60,0.850703,0.855986
61,0.853196,0.854628
62,0.849309,0.854486
63,0.855397,0.858888
64,0.850797,0.856385
65,0.849997,0.857269
66,0.848147,0.852375
67,0.847467,0.84974
68,0.849073,0.860063
69,0.850638,0.854574
70,0.84654,0.857407
71,0.850111,0.850677
72,0.848191,0.856357
73,0.849426,0.850483
74,0.849997,0.858059
75,0.848397,0.858549
76,0.844854,0.85885
77,0.84734,0.85683
78,0.846018,0.853766
79,0.848751,0.85579
80,0.846339,0.860473
81,0.845784,0.859463
82,0.84449,0.858159
83,0.844233,0.858972
84,0.842108,0.861071
85,0.84179,0.860209
86,0.841649,0.855837
87,0.841812,0.856502
88,0.843295,0.859551
89,0.840105,0.857378
90,0.842338,0.858568
91,0.840045,0.855909
92,0.839856,0.856236
93,0.841706,0.853495
94,0.83778,0.85435
95,0.838047,0.85204
96,0.838332,0.859501
97,0.839182,0.858005
98,0.837252,0.854637
99,0.834924,0.851082
100,0.84017,0.859161
