"idx","R2_concat","R2_sum"
1,0.234399,-0.051088
2,0.575471,0.136095
3,0.690362,0.366415
4,0.804173,0.162693
5,0.806408,0.481406
6,0.835075,0.474425
7,0.85234,0.577637
8,0.839081,0.606302
9,0.853524,0.76474
10,0.84546,0.800326
11,0.854881,0.802965
12,0.866398,0.806795
13,0.882175,0.839862
14,0.870116,0.766345
15,0.888095,0.833922
16,0.88081,0.783136
17,0.902115,0.851333
18,0.891276,0.854889
19,0.895636,0.866873
20,0.897873,0.851933
21,0.898535,0.867939
22,0.914734,0.865341
23,0.911779,0.881172
24,0.913155,0.888821
25,0.918255,0.892533
26,0.916531,0.87737
27,0.914733,0.881469
28,0.926361,0.888062
29,0.922546,0.883531
30,0.902561,0.900797
31,0.922984,0.898201
32,0.925269,0.897545
33,0.930297,0.899288
34,0.926776,0.896488
35,0.931539,0.89669
36,0.937001,0.896056
37,0.933137,0.891904
38,0.938331,0.908048
39,0.937615,0.905962
40,0.932107,0.894927
41,0.939858,0.903778
42,0.941733,0.914597
43,0.942992,0.902747
44,0.942198,0.906538
45,0.943399,0.911812
46,0.944031,0.913167
47,0.943597,0.909186
48,0.945985,0.917781
49,0.942595,0.905426
50,0.946776,0.90993
51,0.94473,0.908594
52,0.946258,0.917638
53,0.94551,0.892384
54,0.950028,0.912137
55,0.948045,0.910701
56,0.952142,0.91473
57,0.948526,0.922628
58,0.951877,0.919566
59,0.949674,0.925203
60,0.950359,0.922201
61,0.951908,0.926549
62,0.950238,0.928741
63,0.951466,0.923868
64,0.951285,0.926725
65,0.953496,0.921997
66,0.951508,0.930579
67,0.951035,0.927668
68,0.950822,0.926485
69,0.952773,0.923274
70,0.95306,0.92947
71,0.951638,0.93253
72,0.952573,0.923797
73,0.951876,0.929643
74,0.953218,0.925115
75,0.952473,0.934295
76,0.953228,0.928188
77,0.953721,0.931733
78,0.954902,0.93431
79,0.952101,0.933581
80,0.953121,0.935346
81,0.953812,0.934511
82,0.952878,0.933468
83,0.953513,0.935027
84,0.954156,0.934113
85,0.952941,0.931963
86,0.954406,0.935486
87,0.952782,0.932869
88,0.954189,0.935693
89,0.954749,0.937082
90,0.954962,0.934599
91,0.954246,0.936133
92,0.955331,0.935993
93,0.954009,0.930719
94,0.953955,0.93876
95,0.954777,0.936844
96,0.95508,0.937138
97,0.954828,0.939261
98,0.955148,0.937983
99,0.955258,0.940301
100,0.954887,0.938729
