"idx","R2_concat","R2_sum"
1,0.191514,-0.028865
2,0.344842,0.092678
3,0.544398,0.101794
4,0.616886,0.311864
5,0.608745,0.466201
6,0.630337,0.555065
7,0.664351,0.597875
8,0.677467,0.603064
9,0.681078,0.636056
10,0.716279,0.627081
11,0.72934,0.642505
12,0.734675,0.629239
13,0.761192,0.661608
14,0.772787,0.682192
15,0.772073,0.695466
16,0.792362,0.704096
17,0.805524,0.702147
18,0.807294,0.722722
19,0.795713,0.7203
20,0.803783,0.725618
21,0.804508,0.736541
22,0.817374,0.719432
23,0.812409,0.742728
24,0.81942,0.749241
25,0.821046,0.774411
26,0.819636,0.763012
27,0.831642,0.744721
28,0.830851,0.773407
29,0.833933,0.779034
30,0.825341,0.778358
31,0.817529,0.78456
32,0.827374,0.796272
33,0.824819,0.786426
34,0.825652,0.785031
35,0.827483,0.798687
36,0.826053,0.809682
37,0.829689,0.802078
38,0.828776,0.806558
39,0.83257,0.802682
40,0.832691,0.807647
41,0.83268,0.808002
42,0.826051,0.816574
43,0.832206,0.807095
44,0.83031,0.804615
45,0.829857,0.810186
46,0.830216,0.803811
47,0.831691,0.819843
48,0.82288,0.823479
49,0.829449,0.82886
50,0.829445,0.821322
51,0.825098,0.824786
52,0.820248,0.815346
53,0.823329,0.822946
54,0.828783,0.819907
55,0.825648,0.82947
56,0.82636,0.832951
57,0.825482,0.829358
58,0.818583,0.828779
59,0.818694,0.820259
60,0.826612,0.830318
61,0.821308,0.833549
62,0.823145,0.831325
63,0.819946,0.821429
64,0.818625,0.829899
65,0.82274,0.82396
66,0.819112,0.832278
67,0.817676,0.829943
68,0.82031,0.828169
69,0.817975,0.821536
70,0.817076,0.826297
71,0.815062,0.827271
72,0.817522,0.828019
73,0.815225,0.830757
74,0.81492,0.828437
75,0.814418,0.829584
76,0.810917,0.822669
77,0.813901,0.831628
78,0.814351,0.825147
79,0.811652,0.827193
80,0.81333,0.826104
81,0.813467,0.814645
82,0.810326,0.82472
83,0.811205,0.822505
84,0.810205,0.82893
85,0.810666,0.817457
86,0.808255,0.825729
87,0.808028,0.824024
88,0.808197,0.824436
89,0.808401,0.816025
90,0.809819,0.829755
91,0.809221,0.823222
92,0.807578,0.820916
93,0.808581,0.82537
94,0.806146,0.82922
95,0.807275,0.826883
96,0.805179,0.821375
97,0.80356,0.824322
98,0.805526,0.825897
99,0.804423,0.823634
100,0.805289,0.823846
