"idx","R2_concat","R2_sum"
1,0.207486,0.078131
2,-0.141392,0.097401
3,0.6025,0.272299
4,0.713596,0.510436
5,0.751636,0.554632
6,0.760073,0.635834
7,0.791359,0.708093
8,0.803386,0.677961
9,0.793498,0.73867
10,0.814148,0.766412
11,0.798264,0.767987
12,0.818,0.773189
13,0.83347,0.788649
14,0.815975,0.781458
15,0.834597,0.795174
16,0.821799,0.804766
17,0.840056,0.793171
18,0.838797,0.809218
19,0.871222,0.821779
20,0.873607,0.824734
21,0.862221,0.832152
22,0.862432,0.835222
23,0.881813,0.847596
24,0.859886,0.812354
25,0.891275,0.814569
26,0.893538,0.851163
27,0.883832,0.844532
28,0.898441,0.85331
29,0.890788,0.859174
30,0.906447,0.872495
31,0.883862,0.839216
32,0.908602,0.873788
33,0.909202,0.85442
34,0.914837,0.843171
35,0.922426,0.874414
36,0.915837,0.88244
37,0.919114,0.881372
38,0.923851,0.878036
39,0.92175,0.873731
40,0.922569,0.87975
41,0.919144,0.876743
42,0.923929,0.895663
43,0.919137,0.889796
44,0.926519,0.892292
45,0.924012,0.890462
46,0.928712,0.890685
47,0.921933,0.88181
48,0.929964,0.903227
49,0.930725,0.901911
50,0.926415,0.890632
51,0.932648,0.898596
52,0.932481,0.905014
53,0.929712,0.899863
54,0.935209,0.909437
55,0.934023,0.911425
56,0.926637,0.901335
57,0.933403,0.900657
58,0.924784,0.90862
59,0.932123,0.901277
60,0.936383,0.917589
61,0.935037,0.895474
62,0.935187,0.916301
63,0.937295,0.917869
64,0.93327,0.911218
65,0.93727,0.922793
66,0.937058,0.915743
67,0.934563,0.922804
68,0.937765,0.921817
69,0.934135,0.916808
70,0.936989,0.918181
71,0.93732,0.922192
72,0.937974,0.926625
73,0.937458,0.922504
74,0.938289,0.922839
75,0.936817,0.922246
76,0.938601,0.924044
77,0.938104,0.915349
78,0.93765,0.924153
79,0.937822,0.92366
80,0.938773,0.920294
81,0.939148,0.928018
82,0.939306,0.926295
83,0.939793,0.929061
84,0.93925,0.929023
85,0.937083,0.924687
86,0.939287,0.928515
87,0.940579,0.928728
88,0.938935,0.929201
89,0.938984,0.927143
90,0.939236,0.927567
91,0.938638,0.929567
92,0.937592,0.929018
93,0.940273,0.930451
94,0.940652,0.931387
95,0.940169,0.926596
96,0.939607,0.93162
97,0.93898,0.932297
98,0.938567,0.927426
99,0.939745,0.931491
100,0.939802,0.932853
