"Group","R2","MAE","MSE"
"sum_01",0.668256,1.166662,6.600311
"sum_02",0.724946,1.223599,6.658132
"sum_03",0.697701,1.160772,6.122399
"sum_04",0.686494,1.35057,7.673333
"sum_05",0.762853,1.308011,6.42967
"sum_06",0.702759,1.367574,7.180469
"sum_07",0.733177,1.210019,5.696766
"sum_08",0.746422,1.106593,5.188509
"sum_09",0.746709,1.0316,4.83246
"sum_10",0.687786,1.254798,7.875065
