"idx","R2_concat","R2_sum"
1,0.23239,-0.504535
2,-0.078256,0.053636
3,0.242234,0.124075
4,0.299054,0.168591
5,0.356981,0.125732
6,0.410765,0.211625
7,0.473957,0.207273
8,0.663466,0.236743
9,0.552462,0.249965
10,0.518559,0.136658
11,0.673836,0.24484
12,0.716667,0.226114
13,0.730288,0.169552
14,0.746134,0.226372
15,0.768793,0.247982
16,0.810412,0.247866
17,0.792413,0.252466
18,0.810469,0.275364
19,0.839591,0.27952
20,0.836625,0.272461
21,0.845061,0.302998
22,0.853481,0.322179
23,0.86755,0.320155
24,0.796068,0.378141
25,0.865601,0.340593
26,0.866696,0.32904
27,0.835821,0.457234
28,0.853711,0.503532
29,0.813167,0.324809
30,0.863862,0.50882
31,0.869103,0.54138
32,0.880041,0.562188
33,0.877387,0.578016
34,0.874097,0.595353
35,0.867071,0.605513
36,0.878576,0.622664
37,0.885627,0.646767
38,0.88069,0.665689
39,0.887795,0.680254
40,0.877938,0.711839
41,0.888724,0.700087
42,0.881813,0.669759
43,0.873065,0.741707
44,0.885261,0.754631
45,0.888092,0.758412
46,0.885417,0.770955
47,0.875521,0.788401
48,0.885792,0.79121
49,0.87494,0.665512
50,0.894481,0.782883
51,0.877395,0.806357
52,0.876694,0.816145
53,0.891918,0.828264
54,0.882802,0.830877
55,0.886229,0.833358
56,0.884099,0.846887
57,0.893448,0.839513
58,0.885296,0.851829
59,0.893314,0.82679
60,0.891235,0.850496
61,0.882509,0.837334
62,0.88822,0.866012
63,0.889409,0.865219
64,0.892604,0.870065
65,0.89092,0.871471
66,0.889699,0.842839
67,0.893556,0.874411
68,0.886533,0.872017
69,0.891515,0.880282
70,0.892211,0.880685
71,0.890042,0.875271
72,0.892397,0.879585
73,0.894683,0.87641
74,0.891346,0.885252
75,0.889415,0.882808
76,0.892936,0.878056
77,0.888398,0.886669
78,0.888208,0.880142
79,0.885314,0.88506
80,0.889934,0.879897
81,0.879909,0.88315
82,0.890292,0.882145
83,0.891143,0.884513
84,0.891459,0.889513
85,0.888982,0.882502
86,0.888,0.888011
87,0.893484,0.881003
88,0.89573,0.89236
89,0.890197,0.881857
90,0.887489,0.890842
91,0.89324,0.887792
92,0.893653,0.892303
93,0.889268,0.88924
94,0.890784,0.891147
95,0.893327,0.889607
96,0.889898,0.889348
97,0.893873,0.892152
98,0.892271,0.890693
99,0.888972,0.890586
100,0.897477,0.894009
