"Group","R2","MAE","MSE"
"sum_01",0.940778,4.803452,45.047998
"sum_02",0.931768,4.976154,48.813739
"sum_03",0.936794,4.974611,46.366443
"sum_04",0.927093,5.234477,53.699291
"sum_05",0.947865,4.584385,40.138928
"sum_06",0.946702,4.498579,39.162571
"sum_07",0.939248,4.877502,45.052235
"sum_08",0.942461,4.626602,41.854376
"sum_09",0.92992,5.066464,52.807158
"sum_10",0.933605,4.897583,50.359843
