"Group","R2","MAE","MSE"
"concat_00",0.833309,0.082044,0.012896
"concat_01",0.846875,0.079055,0.012116
"concat_02",0.855345,0.076732,0.011434
"concat_03",0.841049,0.080544,0.012456
"concat_04",0.855953,0.076485,0.011232
"concat_05",0.843564,0.079724,0.012212
"concat_06",0.830763,0.08256,0.013859
"concat_07",0.853343,0.0776,0.011331
"concat_08",0.838888,0.081219,0.01295
"concat_09",0.830815,0.080993,0.01333
