"idx","R2_concat","R2_sum"
1,-0.037188,-0.329576
2,0.035279,-0.003167
3,0.263863,0.168884
4,0.239205,0.192861
5,0.269703,0.197864
6,0.323564,0.236463
7,0.386908,0.194985
8,0.522125,0.249346
9,0.482345,0.215303
10,0.643189,0.254684
11,0.642639,0.200601
12,0.697269,0.254434
13,0.762016,0.244098
14,0.796154,0.276554
15,0.732424,0.26522
16,0.800936,0.18866
17,0.829133,0.29114
18,0.839147,0.309929
19,0.839676,0.269977
20,0.840865,0.354543
21,0.841256,0.373266
22,0.855978,0.433037
23,0.870742,0.453145
24,0.881807,0.454427
25,0.878106,0.529509
26,0.872595,0.583829
27,0.880578,0.591866
28,0.888441,0.596803
29,0.883096,0.615553
30,0.887385,0.582008
31,0.854304,0.640793
32,0.862559,0.683384
33,0.855178,0.666059
34,0.868486,0.620647
35,0.861024,0.684775
36,0.887862,0.701148
37,0.89004,0.701941
38,0.89702,0.728015
39,0.894412,0.716552
40,0.899567,0.684781
41,0.898389,0.735183
42,0.905972,0.743888
43,0.906593,0.793806
44,0.900706,0.806358
45,0.903408,0.807598
46,0.90523,0.830922
47,0.906164,0.83489
48,0.908622,0.76617
49,0.906993,0.831458
50,0.901843,0.850087
51,0.907915,0.853453
52,0.908231,0.854743
53,0.908266,0.859883
54,0.906137,0.869286
55,0.906984,0.874313
56,0.90507,0.877436
57,0.905693,0.881732
58,0.903921,0.884337
59,0.905557,0.883854
60,0.907237,0.886049
61,0.909973,0.891282
62,0.910932,0.895059
63,0.910203,0.897209
64,0.910877,0.896748
65,0.908141,0.899153
66,0.910715,0.900964
67,0.908529,0.902059
68,0.914347,0.902685
69,0.911177,0.877307
70,0.911042,0.89999
71,0.911417,0.902161
72,0.911881,0.904107
73,0.910758,0.907499
74,0.909612,0.907466
75,0.906641,0.902014
76,0.905702,0.907258
77,0.907722,0.902002
78,0.906385,0.906988
79,0.909606,0.903379
80,0.907593,0.907513
81,0.907334,0.903872
82,0.909093,0.909756
83,0.912774,0.906415
84,0.910815,0.90921
85,0.909328,0.907393
86,0.912539,0.910185
87,0.912617,0.909419
88,0.911602,0.911254
89,0.91314,0.91227
90,0.914593,0.90763
91,0.914074,0.913572
92,0.91088,0.907879
93,0.910263,0.913708
94,0.911611,0.909133
95,0.910255,0.912587
96,0.913434,0.90625
97,0.912968,0.91223
98,0.91228,0.911
99,0.910775,0.910233
100,0.911448,0.913091
