"Group","R2","MAE","MSE"
"sum_01",0.889679,0.162452,0.049138
"sum_02",0.883116,0.158255,0.05312
"sum_03",0.898166,0.161661,0.051839
"sum_04",0.903195,0.160178,0.049867
"sum_05",0.867769,0.173357,0.060347
"sum_06",0.887139,0.170988,0.054374
"sum_07",0.869794,0.178697,0.064676
"sum_08",0.880051,0.170647,0.054901
"sum_09",0.891382,0.171052,0.053624
"sum_10",0.882115,0.190276,0.067454
