"idx","R2_concat","R2_sum"
1,0.152544,-0.046706
2,0.521242,0.099047
3,0.681486,0.081985
4,0.733254,0.344439
5,0.746622,0.540555
6,0.721746,0.522167
7,0.763137,0.625373
8,0.770435,0.690011
9,0.794189,0.64766
10,0.806973,0.738936
11,0.821912,0.758251
12,0.802173,0.751876
13,0.840169,0.764274
14,0.853311,0.776488
15,0.852632,0.784462
16,0.862282,0.780996
17,0.863782,0.79946
18,0.865969,0.779254
19,0.877982,0.795019
20,0.869825,0.798661
21,0.874843,0.801449
22,0.887534,0.813767
23,0.889554,0.834789
24,0.90213,0.823967
25,0.902388,0.825057
26,0.895999,0.826562
27,0.901536,0.829108
28,0.908758,0.853825
29,0.919061,0.860736
30,0.920039,0.864565
31,0.924061,0.8563
32,0.925344,0.831748
33,0.929354,0.863248
34,0.917217,0.859758
35,0.929116,0.85393
36,0.934201,0.869626
37,0.930091,0.848211
38,0.935363,0.878076
39,0.938014,0.857315
40,0.937818,0.860546
41,0.940232,0.883533
42,0.937494,0.880165
43,0.943066,0.886526
44,0.939923,0.88481
45,0.942574,0.898281
46,0.945814,0.872516
47,0.945331,0.870593
48,0.945149,0.885622
49,0.948834,0.893114
50,0.949691,0.899489
51,0.94812,0.885979
52,0.946189,0.88527
53,0.947081,0.906098
54,0.95118,0.905381
55,0.945143,0.902408
56,0.950102,0.907498
57,0.950685,0.908957
58,0.95091,0.901239
59,0.946295,0.900267
60,0.953114,0.90566
61,0.948819,0.908017
62,0.953071,0.911433
63,0.952159,0.913635
64,0.951764,0.918691
65,0.952373,0.917977
66,0.951895,0.919596
67,0.953089,0.920494
68,0.952458,0.914465
69,0.952529,0.921026
70,0.953569,0.921202
71,0.951285,0.918002
72,0.954344,0.917068
73,0.951706,0.922635
74,0.952627,0.924525
75,0.954048,0.923147
76,0.952646,0.923283
77,0.952375,0.926405
78,0.954049,0.92525
79,0.953543,0.916345
80,0.953834,0.923135
81,0.954527,0.927423
82,0.954085,0.923668
83,0.954193,0.927262
84,0.953433,0.928931
85,0.953241,0.928242
86,0.95425,0.928378
87,0.954653,0.925309
88,0.953317,0.929928
89,0.953628,0.929344
90,0.952756,0.934433
91,0.954655,0.929678
92,0.953023,0.930361
93,0.954527,0.924572
94,0.954551,0.929655
95,0.952774,0.9248
96,0.952887,0.930464
97,0.954308,0.932427
98,0.954225,0.930901
99,0.954764,0.928876
100,0.954638,0.934925
