"Group","R2","MAE","MSE"
"concat_01",0.896477,0.154635,0.04611
"concat_02",0.884102,0.155178,0.052672
"concat_03",0.900916,0.159509,0.050439
"concat_04",0.90821,0.150825,0.047283
"concat_05",0.880002,0.164374,0.054764
"concat_06",0.896014,0.162714,0.050098
"concat_07",0.884272,0.170722,0.057485
"concat_08",0.890094,0.160448,0.050304
"concat_09",0.895557,0.161672,0.051563
"concat_10",0.887785,0.180467,0.06421
