"Group","R2","MAE","MSE"
"sum_01",0.894973,0.158795,0.046781
"sum_02",0.878245,0.161148,0.055334
"sum_03",0.895343,0.163186,0.053276
"sum_04",0.902346,0.15672,0.050304
"sum_05",0.870794,0.169548,0.058966
"sum_06",0.887381,0.171279,0.054257
"sum_07",0.873348,0.177668,0.062911
"sum_08",0.883869,0.165117,0.053154
"sum_09",0.88692,0.176635,0.055827
"sum_10",0.886699,0.183688,0.064831
