"Group","R2","MAE","MSE"
"concat_01",0.950348,4.485741,37.768211
"concat_02",0.94624,4.426325,38.460385
"concat_03",0.948737,4.406246,37.60501
"concat_04",0.952414,4.220418,35.04957
"concat_05",0.956112,4.235126,33.789656
"concat_06",0.950455,4.256658,36.405193
"concat_07",0.954405,4.221049,33.812177
"concat_08",0.95128,4.260882,35.439482
"concat_09",0.952216,4.345698,36.006621
"concat_10",0.953662,4.184177,35.146399
