"Group","R2","MAE","MSE"
"sum_01",0.929,5.142587,54.007144
"sum_02",0.928657,5.019307,51.039149
"sum_03",0.939739,4.773887,44.20587
"sum_04",0.940274,4.757791,43.990702
"sum_05",0.94158,4.812675,44.978351
"sum_06",0.9367,4.823636,46.511858
"sum_07",0.939771,4.802022,44.664189
"sum_08",0.943842,4.657364,40.849877
"sum_09",0.939807,4.811974,45.357182
"sum_10",0.932978,4.916228,50.835685
