"idx","R2_concat","R2_sum"
1,0.258535,-0.025668
2,0.494277,0.104275
3,0.53189,0.145007
4,0.589683,0.354143
5,0.618207,0.528875
6,0.63426,0.562225
7,0.623849,0.580717
8,0.663218,0.56182
9,0.68601,0.596898
10,0.694947,0.593579
11,0.718922,0.641181
12,0.720253,0.659864
13,0.731617,0.646611
14,0.736537,0.678874
15,0.755446,0.701791
16,0.754953,0.690688
17,0.791265,0.724601
18,0.781778,0.744718
19,0.798408,0.755287
20,0.80931,0.764638
21,0.798216,0.778965
22,0.799495,0.752109
23,0.806965,0.733041
24,0.80691,0.776899
25,0.82335,0.787894
26,0.808723,0.781099
27,0.810139,0.782314
28,0.827755,0.796348
29,0.815449,0.797325
30,0.824552,0.804806
31,0.816992,0.800605
32,0.81446,0.799454
33,0.823215,0.790579
34,0.817317,0.802812
35,0.826226,0.811323
36,0.820334,0.812365
37,0.836784,0.823065
38,0.830143,0.815479
39,0.827271,0.806998
40,0.830258,0.818818
41,0.826462,0.812431
42,0.825268,0.817529
43,0.820845,0.814334
44,0.826878,0.811194
45,0.826245,0.823776
46,0.835055,0.821553
47,0.828147,0.821226
48,0.831234,0.822524
49,0.829882,0.829128
50,0.831918,0.825355
51,0.832413,0.831813
52,0.820603,0.823212
53,0.832208,0.827144
54,0.827608,0.815464
55,0.826137,0.820033
56,0.829568,0.815124
57,0.829727,0.825445
58,0.833274,0.82143
59,0.830295,0.82346
60,0.832193,0.831782
61,0.828263,0.819974
62,0.831023,0.816853
63,0.826332,0.826718
64,0.828182,0.831671
65,0.827007,0.82506
66,0.828739,0.825098
67,0.826281,0.830734
68,0.825578,0.81536
69,0.825,0.828707
70,0.825479,0.829904
71,0.824618,0.829888
72,0.824583,0.824915
73,0.826188,0.826994
74,0.820918,0.824847
75,0.823849,0.829106
76,0.819709,0.823114
77,0.821012,0.823376
78,0.822156,0.827734
79,0.818038,0.824153
80,0.82239,0.829945
81,0.821721,0.825362
82,0.819142,0.830625
83,0.813928,0.821319
84,0.818705,0.824791
85,0.817401,0.820186
86,0.817078,0.826416
87,0.815448,0.825118
88,0.814947,0.827055
89,0.817734,0.82922
90,0.818535,0.831837
91,0.816277,0.82766
92,0.816763,0.820284
93,0.813777,0.825558
94,0.813313,0.825332
95,0.81298,0.821561
96,0.813551,0.826155
97,0.815537,0.826425
98,0.812678,0.823237
99,0.813768,0.825571
100,0.813361,0.827205
